,Name,Category,Content
364,Được trả lương,Truyện cười tình yêu,"Người vợ trẻ phụng phịu nói với chồng:
- Anh chàng diễn viên trong vở kịch tỏ tình với người yêu thật là nồng nhiệt. Còn anh, chẳng bao giờ nói với em một câu như thế!
Người chồng mỉm cười giải thích:
- Nhưng em biết anh ta khác anh rất nhiều: Anh ta làm như vậy là được nhà hát trả lương, còn anh thì…"
365,Như nhau cả,Truyện cười khoa học,"Một nhà khoa học tánh tình hay đa nghi, nên ông ta chế tạo ra robot phát hiện nói dối. Ngày chế tạo thành công, ông đem ra thử con trai. Cậu con trai vừa đi học về ông ta đem robot ra hỏi:

- Sao con đi học về trễ vậy?

- Con qua nhà bạn mượn sách về học.

- Robot phát hiện nói dối, đánh cho cậu con trai một cái.
 Ông bố cười: Đó con thấy chưa, nói dối là phải chịu phạt. Lúc bằng tuổi con bố không dám nói dối ông nội nửa lời.

- Ngay lập tức, robot đạp ông ta một cái bay vô tường.
 Người vợ thấy cậu con trai bị đánh đòn đau bèn nói: Sao anh làm thế với con, dù sao nó cũng là con anh!

- Robot nắm đầu bà vợ, đánh túi bụi."
366,Vova tập làm văn.,Truyện cười vova," 
Trong tiết Tập làm văn, thấy Vova luôn là người hăng hái, cô giáo gọi Vova lên bảng:

- Con hãy miêu tả một chú gà trống ở khu vườn…

Vova bắt đầu hồn nhiên:

- Buổi sáng, ông mặt trời thức dậy, toả những tia nắng ấm áp xuống vườn nhà em….

- Hay, hay…
- có tiếng xuýt xoa ở dưới, cô giáo cười tươi.

- Chú gà trống đĩnh đạc ra giữa vườn, vươn cổ cất tiếng gáy vang động khắp nơi….

- Tuyệt vời…, thật tuyệt…
- lại tiếng xuýt xoa.

- Sau đó chú nhảy lên lưng chị gà mái….

- Thôi, thôi, được rồi, xuống ngay, xuống ngay…
- cô giáo hoảng hốt.

- Nhưng chú gà trống nhà con đâu có chịu xuống ngay, thưa cô…?
-Nó đang đạp đạp mà…
- Vova vẫn hồn nhiên trả lời
- cô giáo??!!"
367,Mặt trời hay mặt trăng?,Truyện cười say xỉn,"Hai gã say đang trò chuyện trên đường về nhà:
 - Đẹp thật, nhìn trăng kìa!
 - Sai bét ! Đó là mặt trời !
 - Họ cãi nhau cho đến khi gặp một người lảo đảo đi ngược lại, một người hỏi: Này anh bạn, hãy nói xem cái vật đang chiếu sáng trên kia là mặt trời hay mặt trăng vậy ?
 - Người kia nhìn lên trời chăm chú rồi cau mày hỏi lại: Xin lỗi, các anh định hỏi về cái bên trái hay bên phải?"
368,Điếc… cả làng..,Truyện cười dân gian," 
Hai ông bà điếc sanh đặng một đứa con gái cũng điếc, rầu mình vô phước, phần mình già cả chẳng nói làm gì, còn con mình tật nguyền điếc lác biết gởi cho ai để gởi thân cho nó nhờ? Mà nghĩ lại mình cũng lớn ruộng nhiều trâu thế cũng có khi có rể.



Vậy, thấy có một đứa con trai lịch sự cách xa vài làng, năng vô ra tới lui trong làng thì kêu nó mà gả, chẳng ngờ nó cũng điếc. Cưới hỏi xong xạ, nó về ở với cha mẹ vợ, cha biểu đứa con gái nói nó ra coi cày bừa đám ruộng ở bên lề đường. Nó nghe liền vác cày ra cày. Có ông quan đi ngang qua đó, mà là quan kinh mới nhậm đứng lại hỏi thăm nó đường đi vô dinh quan phủ. Nó chẳng lành thì chớ, điếc nghe không rõ, tưởng ông quở nó cày sao cày bậy ruộng ông chăng ; nên vọt miệng mắng: 
Ông quan thấy nó dễ ngươi thì biểu quân rượt đánh nó. Nó đâm đầu chạy về nhà, vợ nó đang ngồi nấu cơm trong bếp, nó đạp cho 2 – 3 đạp chúi vào trong bếp: 
.
Con vợ kia nói: 
.
Kế thấy mẹ nó đi chợ leng teng bưng rổ về; con gái ra méc, nói sao chồng độc dữ quá đạp nó làm vậy. Bả thấy bộ nó giận quạu quọ thì ngờ nó nói sao mình đi chợ 5 tiền mà… ăn bánh ăn hàng đi hết đó. May đâu ổng đi tát đìa quảy vịt về, bả liền chạy ra nói: 
.
Ông nghe không rõ, tưởng bả nói sao mình bắt cá cho ai, thì mới nói: 
.
Nắm tay bả dắt ra ngoài đồng lại hỏi lão cày: 
.
Chẳng may lão cày cũng lảng tai, tưởng là nói lão có khuấy chơi lấy quần giấu đi chăng (thấy ông đóng khố thì hiểu làm vậy) cho nên mới nói: 
."
369,Đổ rác…,Truyện cười 18+,
370,Vova và trò chơi người lớn,Truyện cười vova,"Vova chạy lai hỏi mẹ:
Mẹ ơi, trẻ con có sinh em bé được không?
- Không.
Nó liền quay sang nói voi Natasa:
- Đấy mà . . tớ đã nói mà cậu cứ lo, mình chơi tiếp trò đó đi."
371,Làm gì,Truyện cười vova,"Cô giáo:
- Petia, bố em làm nghề gì?
 - Kỹ sư
 - Lena, thế bố em làm nghề gì?
 - Giám đốc nhà hát
 - Vova, thế còn bố em?
 - Ông ấy chết rồi.
 - Thế ông ta làm gì trước khi chết?
 - Rên rỉ"
372,Gần mực thì đen,Truyện cười y học,"Bác sĩ tâm lý lừng danh đến thăm khu điều dưỡng bệnh nhân tâm thần. Vào một phòng, ông ngẩng đầu lên và thấy trên trần có một người bệnh bám cả hai tay hai chân vào xà nhà.
Bác sĩ hỏi y tá trực phòng:
- Anh ta bị làm sao thế?
- Hắn bị bệnh hoang tưởng, tự coi mình là cái bóng đèn...
- Ừ! Tôi thấy rõ rồi... Nhưng phải có cách bắt hắn xuống, kẻo ngã bị thương thì rày rà to cho uy tín của bệnh viện ta.
- Vâng, nhưng hắn mà xuống thì gian phòng này sẽ tối ạ!"
373,Sẽ chỉ yêu ai?,Truyện cười tình yêu,"Một chàng trai soạn e-mail:
- ""Em thân yêu của anh, nhớ em nhiều lắm, cuối tuần này đi nghỉ cùng anh nhé! Chúng mình sẽ có 2 ngày tuyệt vời bên nhau. Anh sẽ yêu em, yêu em nữa, và chỉ yêu em thôi!"".
- Xong xuôi, anh ta tự nhủ: Mình save bức thư lại, sẽ rất thuận lợi cho sau này. Rắc rối ở chỗ là chọn địa chỉ nào để gửi đi. Tuần trước cặp với Julia rồi, tuần tới không biết nên rủ Anne hay Cathy?"
374,Rất lạnh,Truyện cười công sở,"
Người da trắng đến khai hoá văn minh cho người da đỏ. Mùa đông đến, người da đỏ hỏi:

- Mùa đông năm nay liệu có lạnh không?

- Thì các anh cứ đi kiếm củi về đi, dự phòng khi trời lạnh.

- Vốn cẩn thận và nhiệt tình, người da trắng liền gọi điện đến trạm thủy văn để hỏi xem mùa đông năm nay có lạnh không. Người ở đài thuỷ văn trả lời ""Có lạnh đấy"".

- Ngay lập tức, người da trắng liền bảo người da đỏ đi kiếm thêm củi. Hai tuần sau, người da trắng lại gọi điện cho nhà thuỷ văn và nhận được câu trả lời: ""Lạnh lắm đấy"".

- Nguời da trắng liền đó giục người da đỏ kiếm thêm củi. Hai tuần sau nữa, họ lại gọi điện và nhà thuỷ văn trả lời: ""Cực kỳ lạnh đấy.""

- Thế làm sao ông biết?

- Nhìn thực tế thì thấy. Người da đỏ đang đi kiếm đầy củi về nhà đấy thôi."
375,Tính Theo Nhan Sắc,Truyện tiếu lâm,"Nghi lễ kết hôn đã hoàn tất. Chú rể thò tay vào túi áo ngoài và hỏi vị mục sư rằng mình phải thanh toán tất cả là bao nhiêu. Vị mục sư nói: “Các phần này nhà thờ không tính tiền”.
Tuy nhiên, ông cũng nói tiếp với vẻ ngại ngùng:
- Nhưng con có thể trả tùy theo nhan sắc của cô dâu. Con có vợ đẹp thì con vui, mà con vui đóng góp cho nhà thờ thì ta cũng vui.
Chú rể bèn đưa cho vị mục sư 1 đô la. Hơi tò mò, vị mục sư cũng xin phép vén tấm màng che mặt cô dâu. Quan sát xong xuôi, ông thọc tay tìm kiếm gì đó ở trong túi ra và nói:
- Đây là 50 xu ta thối lại cho con!"
376,Cả Đời Người..,Truyện tiếu lâm," 
Một ông đi du học ngoại quốc trở về với văn bằng tiến sĩ, nào văn chương, nào sử ký, nào pháp luật, nào kinh tế học, nào xã hội học, nào triết học, ngoài ra có cả phần y khoa bác sĩ và bằng kỹ sư cầu cống nữa. Bởi thế thiên hạ gọi ông là một “Bác học”. Nhưng người đời trọng ông bao nhiêu, thì ông lên mặt bấy nhiêu. Thậm chí với ai ông cũng chê 
là dốt, và ngồi với ai, dù người ấy là người cùng nước ông cũng thao thao xổ ra những tiếng ngoại quốc và những tiếng ngoại quốc…
Bữa nọ, nhà “Bác học” đáng kính phải qua một con sông rộng bằng chiếc thuyền tam bản. Thấy anh lái đò vừa chèo vừa nghêu ngao hát, ông nhổ nước miếng xuống sông đánh phì rồi hỏi:
Anh cũng biết văn nghệ nữa à?
Anh lái đò lễ phép:
Thưa ông tôi chỉ có biết chèo đò, chớ đâu có biết văn nghệ là cái gì?
Nhà bác học nói:
Văn nghệ mà anh không biết thì anh chết nửa đời người rồi. À mà anh có biết tiếng Anh hay tiếng Pháp gì không, có biết chính trị là gì không?
Dạ, không biết!
Thế thì anh chết nửa đời người nữa rồi.
Vậy anh có biết sử ký, pháp luật, kinh tế và khoa học gì không?
Dạ thưa ông, tôi đã nói tôi là dân ngu khu đen, chỉ biết chèo đò kiếm ăn, chớ không biết gì cả…
Không biết thật sao, trời ơi như thế thì anh cũng chết nửa đời người nữa vậy!
Nói đến đây ông định thuyết thêm, nhưng trời bỗng thình lình nổi gió, nước sông cuộn sóng lên ầm ầm, mà thuyền mới lênh đênh ra giữa sông. Anh lái đò sợ một mình chèo không kịp bến, muốn nhờ nhà bác học giúp đỡ một tay cho mau chóng thoát hiểm, nên hỏi:
Dạ thưa ông biết chèo không ạ?
Nhà bác học la:
Hứ, cái anh này, chèo, tôi đâu có biết!
Anh lái đò vừa chống chỏi với phong ba, vừa cười bảo:
Dạ thì hôm nay ông chết nửa đời người rồi đấy!
Nhà bác học ta lúc đó mới cảm thấy nóng mặt nóng tay, nhưng rồi sóng càng to, thuyền càng bị đánh, bị nước ào ạt tràn vào, biết không thể nào tránh khỏi bị đắm giữa sông sâu, sóng cả, anh lái đò hốt hoảng hỏi:
Chết, chết. Thưa ông, ông biết lội (bơi) không ạ!
Nhà bác học tái xanh mặt mày lại:
Dạ thưa anh, tôi không biết lội, lạy anh, anh cứu tôi, không thì tôi nguy mất!
Anh lái đò nhìn nhà bác học đáp:
Không biết lội nữa à! Chèng đéc ơi, thế thì hôm nay ông chết cả đời người, còn gì?"
377,Chữa ghen,Truyện cười tình yêu,"Một chàng vớ phải cô vợ có tính ghen. Nghe tin bạn có bí quyết ""triệt ghen"", anh ta liền tìm đến học hỏi. Thế nhưng cô vợ thậm chí còn đòi ly dị nên anh ta lại tìm đến người bạn thắc mắc:
- Thế mày có giả vờ nói mê như tao bảo không?
- Có, tao nói y nguyên.
- Mày thử nhắc lại xem nào?
- Liên ạ ... Anh ...chỉ ..yêu...mình ...e...em.
- Trời ạ, Liên là vợ tao, thế mày không thay bằng tên của vợ mày à?"
378,Biết vâng lời,Truyện cười học sinh,"Cô giáo hỏi học trò:
 - Tháng nào em cũng đứng chót lớp, tại sao em không chịu ganh đua với bạn bè?
 - Thưa cô, cô vẫn dạy em là phải nhường nhịn bạn bè mà!
 - Cô: !?!?"
379,Bệnh đãng trí,Truyện cười y học,"Một người vẻ mặt lo lắng đi gặp bác sĩ để khám sức khỏe định kỳ. Ông bác sĩ hỏi:
- Sức khỏe của ông vẫn bình thường chứ?
- Nói thật với bác sĩ là tôi dường như bị mắc bệnh đãng trí thì phải. Tôi không bao giờ chắc chắn được là mình đã đậu xe ở đâu, hoặc đã trả lời thư chưa, tôi luôn tự hỏi mình đang đi đến đâu và sẽ làm gì khi đến nơi đó. Vì thế, tôi rất cần sự giúp đỡ của ông, bác sĩ ạ.
- Ông bác sĩ trầm ngâm một lát rồi nhẹ nhàng bảo: Thế thì ông trả tiền khám bệnh cho tôi trước đi!!!"
380,Chương trình dọn dẹp Registry,Truyện cười học sinh,"Công thức để tính tốc độ máy tính được cải thiện sau khi bạn chạy một chương trình dọn dẹp Registry là: z(n+y). Trong đó “n” là số chỉ mục Registry đã được dọn dẹp, y là tốc độ của CPU (được tính bằng gigahertz) và cuối cùng là z = 0"
381,Nước mắm hâm…,Truyện cười dân gian," 
Một anh nọ có tính sợ vợ vô cùng và ngu hết chỗ nói, bởi thế suốt đời cứ bị ăn hiếp mà không làm sao được. Anh ta biết thế là nhục, mắc cỡ với anh em, song cứ phải cắm cúi phục tùng theo lệnh bà.
Một lần, có bạn ở xa tới thăm, anh ta đến năn nỉ với vợ:



- Bữa nay tui có khách, vậy mẹ mày để tôi làm chồng một hôm, bao giờ có mặt khách đến thì mẹ mày để cho tôi cự nự la lối gì thì la. Chớ không khách khứa bảo vợ ăn hiếp chồng thì nhục cả.
Chị vợ thấy chồng nói thế cũng ưng thuận để đẹp mặt cả đôi và được tiếng với anh em. Anh ta được như ý nên tự tung tự tác quát nạt om sòm, chị vợ không hé răng nửa lời. Bạn bè thấy thế cũng khâm phục. Bữa ăn, mâm cơm được dọn lên một cách ngon lành đầy đủ, tuy thế anh ta vẫn:
- Nào, tô canh này sao mẹ nó nấu mặn quá thế này?!
- Chao ôi! Món xào gì mà lại thế này?!
- Đĩa thịt làm sao mà nấu như vậy?!
Thấy chồng chê bai đủ thứ, chị vợ vẫn vui vẻ lễ phép với chồng. Được nước, anh chồng như chim sổ lồng quên cả phận mình, nên lên mặt quá. Ngó đi ngó lại không còn gì để chê được nữa, khi thấy vợ bưng thêm nước mắm lên, anh ta nhận lấy rồi nói:
- Này mẹ nó, sao chén nước mắm này không hâm lên?
Nghe nói vậy, mọi người bò lăn ra cười. Chị vợ mắc cỡ không nhịn được cái ngốc của chồng mới bước lại túm tóc anh ta tẩn cho một trận."
382,Sếp ở trên người thư ký,Truyện cười 18+,
383,Ông ơi! sao cười?,Truyện cười gia đình,"Hồi đó lâu lắm rồi! có hai vợ chồng già nọ sống ven biển.
Một đêm nọ bọn cướp độp nhập vào nhà, chúng vẽ một vòng tròn giửa nền nhà, rồi bắt hai ông bà vào đứng trong đó, tên cầm đầu ra lệnh cho đàn em canh chừng nếu hai người mà lú chân ra khỏi vòng là chém. Trong lúc bọn cướp lục lọi thu lấy tiền vàng, bà đang run sợ lắm nhưng khi nhìn sang thì thấy ông lão cười cười bà cũng yên tâm nghĩ bụng chắc ông lảo đã có cách gì đó.
Khi bọn cướp bỏ đi thì ông bò ra đất mà cười, bà lão bèn hỏi "" ông ơi! bộ ông có cách lấy lại tiền vàng cho mình hả?"".
Ông lão trả lời "" đâu có! tôi cười là vì khi nãy tôi lú chân ra khỏi vòng mà nó không thấy!?!?!?!"
384,Cầm nhầm bữa tối…,Truyện cười tam quốc,"Ở đông ngô, 1 hôm, Tôn Sách và Đại Kiều cùng lên xe Buýt(Nghe nói là thuê của vợ chồng Mạnh Hoạch), 2 người chưa quen biết gì nhau. Trên xe đông đủ các tầng lớp từ Tôn Kiên tới tiều phu nên rất chật chội, Kiều tay khư khư nắm quả chuối mang đi từ nhà(Chuối này là loại quả mọc trên cây chứ ko có ý gì khác). Tôn Sách từ phía sau nhẹ nhàng nói với Kiều:
- Thưa cô. Kiều gắt gỏng:
 - Cái gì, đang chật quá đây này.
 TSách : Cô có thể bỏ tay ra có được ko ạ tôi thấy đau, và ngại quá?
 ĐKiều : Ô hay bỏ thế nào được, đây là bữa sáng của tôi đó.
 TSách :Vâng, bữa sáng của cô vẫn đang ở trong túi áo của cô, còn tay cô đang nắm “bữa tối” của tôi."
385,Khoe,Truyện tiếu lâm,"Ba mày râu gặp nhau bàn tính về chuyện ăn :
 - Mày râu 1: Tôi có thể ăn một lúc hai quả trứng gà
 - Mày râu 2: Tưởng gì! Tôi có thể ăn một lúc được ba quả trứng gà
 - Mày râu 3: Thế thì nhằm nhò gì! Một lúc tôi có thể ăn hàng trăm quả trứng.
 - Mày râu 1, mày râu 2: Trứng gì vậy ?
 - Mày râu 3: Trứng cá!
 - Mày râu 1 và mày râu 2: Trời!!!"
386,Tây du ký chế: Hồi 2 Thâu nhận Ngựa bạch,Tây du ký chế,"Nào ngờ lúc quay lại đã chẳng thấy con ngựa của Đường Tam Tạng đâu.
Đường Tam Tạng túm cổ Thổ Địa kêu lên:
- Con ngựa của ta đâu? Mau trả lại đây.
- Ông có mua vé thăm quan đâu, lại còn không mua vé trông ngựa, không đóng phí mà đòi tôi có trách nhiệm phải đền ông chứ?
Tôn Ngộ Không cười khẩy:
- Thôi bỏ đi, sư phụ để cho con.
Nói rồi Tôn Ngộ Không hóa ra một con Dylan mới cáu:
- Sư phụ chơi con này được chứ?
- Ta không có bằng lái xe.
Tôn Ngộ Không nghe vậy lại biến ra một con Mercedes:
- Con này thì sao? Rất hợp với dáng thầy:
- Đã nói không có bằng lái xe mà lị.
Tôn Ngộ Không bĩu môi:
- Sư phụ nhà quê khủng khiếp.
Nói rồi Ngộ Không vọt lên trên cao, chợt thấy một con rồng đang bay lượn thì vội vàng bay tới túm lấy râu nó giáng cho mấy đấm:
- Có phải mi ăn cắp ngựa của chúng ta không?
Con rồng kêu lên oai oái:
- Đại ca tha cho em, tha cho em, em chỉ vì đói quá thôi.
- Thế mi là ai?
- Em vốn là thái tử của Long Vương, cãi nhau với phụ vương nên quyết định bỏ nhà đi Thiên Trúc chơi, nào ngờ giữa đường đánh bạc hết tiền, đói quá làm liều, đành phải chén con ngựa của đại ca thôi.
- Hóa ra là bỏ nhà đi bụi đời. - Tôn Ngộ Không cười khẩy - mi ăn ngựa sống mà không sợ H5N1 à?
Con rồng cười phá lên:
- Đại ca vừa ở trên Sao Hỏa xuống hay sao mà không biết H5N1 là virus cúm gà chỉ ăn gà mới nhiễm thôi.
Tôn Ngộ Không quê độ gắt:
- Tao biết thừa, chỉ thử mày đấy thôi. Giờ ngựa tao mày chén hết rồi, tính bồi thường thế nào?
- Tiền em hết rồi, đại ca xem có đồ gì cứ lột tạm.
- Thôi khỏi, chú mày vừa đánh bạc cháy túi còn qué gì nữa cho tao lột chứ, hay mày biến thành ngựa cho thầy tao cưỡi nhớ.
- Ngựa đực hay ngựa cái hả đại ca?
- Thế mày là đàn ông hay đàn bà? - Tôn Ngộ Không quát tướng lên rôi giơ gậy toan bổ xuống.
Tiểu Bạch Long thấy vậy hoảng hồn vội hóa thành con ngựa trắng nói:
- Em đùa thôi mà đại ca, cẩn thận nóng quá đứt mạch máu não đấy.
Thấy Tôn Ngộ Không dẫn Tiểu Bạch Long về, Đường Tam Tạng mừng lắm nói:
- Thằng thế mà khá, chớp mắt đã tìm được ngựa rồi.
Rồi ông cúi xuống nói nhỏ:
- Này có phải con chôm chỉa ở đâu thế?
- Yên tâm đi sư phụ, sư phụ có cưỡi từ giờ đến Tây Thiên cũng chẳng ai bắt sư phụ đâu.
- Nếu người ta bắt thì ngươi phải chịu trách nhiệm đấy nhé."
387,Còn đau hơn,Truyện cười vova,"Bố của trò Vova bị cô giáo mời đến gặp. Khắp mình dán đầy bông băng, ông vừa lê bước vào đã nghe cô kể tội con mình:
 - Bác xem này! Em Vova vẽ con ruồi lên cái đinh trên bàn giáo viên. Tôi đập một nhát, chảy cả máu tay.
 - Trời ơi! Thế là còn nhẹ. Cô nhìn cái thân tôi xem, đây là hậu quả của việc nó vẽ mẹ nó trên đống thủy tinh đấy.
 - Úi chao!"
388,Gãy xương sống…,Truyện cười tình yêu,"Có một anh chồng tính lười đã sẵn, nên chỉ muốn vợ chăm lo  công việc đồng áng, còn mình thì ở nhà rong chơi, hoặc bồng con. Một  hôm, vì nông vụ tấn thì, vợ bàn mãi, anh chàng mới miễn cưỡng đi nhổ mạ



Để khỏi phải làm, trước lúc đi anh buộc sẵn một đoạn nứa ở sau lưng.  Đến ruộng, vừa cúi xuống để nhổ mạ, đoạn nứa gãy đôi có tiếng “oác”. Anh  liền rên rỉ và kêu toáng lên là gãy xương sống rồi. Vợ phải để cho anh  ta về nhà."
389,…lên toàn thế giới.,Truyện cười vova," 
Vova đang đi trong hành lang của trường, mang theo quả địa cầu to tướng thì gặp cô giáo:

- Vova, em đi đâu vậy?

- Thưa cô em đi vệ sinh.

- Thế em mang theo quả địa cầu làm gì?!!!

- Cô có biết cảm giác sung sướng như thế nào khi …. lên toàn thế giới
- cô ??!!!"
390,Bấm chuông,Truyện cười thế giới,"3 người của 3 nước NV, Mỹ và Nhật tham gia cuộc thi nhịn đói trong phòng kín. Nếu đói quá không chịu nỗi nữa thì bâm chuông, sẽ có người mở cửa.
Ba ngày sau, Mỹ không chịu nỗi đã bấm chuông đòi ra. 1 tuần sau, Nhật cũng hết chịu nỗi phải bấm chuông nhưng VN vẫn chưa chịu ra.
Hai tuần sau, VN vẫn ngồi trong đó, mọi người bắt đầu lo sợ.
Một tháng sau, người ta mới mở cửa cho VN, may sao anh vẫn còn sống. Cánh nhà báo bu lại anh và hỏi bí quyết của anh, anh trả lời:
- Chúng nó nhốt tao vào cái phòng có cái chuông bị hư! "
391,Chỉ là quảng cáo thôi,Truyện cười thế giới,"Một nhà kinh doanh cỡ bự chẳng may chết trong một tai nạn ôtô. Ông ta đến cửa thiên đàng và gặp Thánh Pierre ở đó:
- Thánh Pierre nói: Để ta cho ngươi xem cái này. ngươi sẽ chọn được nơi ở thích hợp với mình.
- Thánh dẫn ông ta đến một bãi cỏ lớn. Ở đó, hàng trăm thiên thần thổi sáo véo von và hàng nghìn người tha thẩn đi qua đi lại, chốc chốc họ lại ngáp ngắn ngáp dài.
- Thánh giải thích: Đó là thiên đường. Còn bây giờ ta sẽ cho ngươi xem địa ngục.
- Họ đến một cuộc hội hè lớn, náo nhiệt, điên loạn. Tất cả đều nhảy nhót và sự hoan hỉ hiện rõ trên khuôn mặt từng người.
- Đó là địa ngục! Ngươi chọn nơi nào?
- Ngài hỏi gì mà ngốc nghếch thế! Tất nhiên là tôi chọn địa ngục rồi.
- Liền đó, hai con quỷ dữ tợn lôi kẻ mới đến về phía vạc dầu sôi sùng sục.
- Ấy ấy! nhà kinh doanh kêu thất thanh - Thánh lừa tôi! Địa ngục không phải như tôi vừa trông thấy lúc nãy!
- Thánh Pierre vừa nói vừa bỏ đi: Ồ! Cảnh ta cho ngươi xem lúc nãy là quảng cáo ấy mà!"
392,Ngoan ngoãn,Truyện cười khác,"David được tặng một con vẹt nhân dịp sinh nhật của mình. Đó là một con vẹt rất đẹp nhưng lại hết sức hỗn láo. Nó chỉ biết nói những câu tục tĩu và không bao giờ chịu nghe theo những lời dạy bảo của David.
 - Một ngày kia khi con vẹt văng tục trước mặt mẹ David, không chịu nổi nữa, cậu mở cánh cửa tủ lạnh và tống nó vào trong. Sau một hồi đập cánh loạn xạ, chợt con vẹt im bặt.
 - Giật mình, sợ có chuyện gì không hay xảy ra, David vội mở cửa tủ.
 - Con vẹt lập tức bay ra và đậu trên vai David nói hết sức lễ phép: ""Tôi biết mình đã có thái độ không đúng mực. Tôi hứa từ nay sẽ luôn nghe theo lời anh. Xin anh hãy tha thứ cho tôi"".
 - Chưa kịp hết ngạc nhiên trước sự thay đổi đột ngột này, David lại nghe con vẹt hỏi: ""Nếu có thể được, xin hãy cho tôi biết con gà trong tủ lạnh đã mắc tội gì vậy?"""
393,Chính xác,Truyện cười công sở,"Hướng dẫn viên du lịch thuyết minh cho đoàn tham quan:
- Thưa các quý vị, phiến đá này đã tồn tại một trăm nghìn không trăm linh ba năm.
- Một khách du lịch hỏi: Làm sao mà anh lại biết chính xác như thế?
- Cách đây 3 năm, một nhà địa chất học đã đến đây nghiên cứu và tuyên bố: phiến đã này có tuổi là một trăm nghìn năm."
394,password..,Truyện tiếu lâm," 
Một nhân viên tóc vàng hoe mới vào làm việc đang gọi điện tới trung tâm kỹ thuật để than phiền về mật khẩu của mình.

- Cô có bật đèn Caps Lock không?

- Ồ không. Vấn đề là bất cứ khi nào tôi gõ mật khẩu, nó chỉ hiện lên những ngôi sao.

- Những ký tự đó là để bảo vệ cô. Ví dụ như có ai đó đứng sau lưng cô thì họ cũng không đọc được mật khẩu.

- Phải, nhưng chúng vẫn hiện lên ngay cả khi chẳng có ai đứng sau lưng tôi mà."
395,Không đáp ứng được tiêu chuẩn,Truyện cười công sở,"Thầy giáo đang giải thích cho học sinh hiểu thời gian đã làm thay đổi các quan niệm của xã hội về cái đẹp và các chuẩn mực của nó như thế nào:
- Chúng ta hãy thử nhớ lại Hoa hậu Mỹ năm 1931, cô ta cao 1,55 m cân nặng 49 kg, các số đo: 76-64-81. Theo các em, liệu cô ta có cơ may không, nếu dự cuộc thi sắc đẹp năm nay không?
- Thưa thầy, cô ta sẽ không có một cơ may nào hết ạ!
- Giáo viên gợi mở: Tại sao? Em hãy cho ví dụ về các tiêu chuẩn
- Đơn giản vì cô ta đã quá tuổi đăng ký tham dự."
396,Tập truyện cười ngắn hay,Truyện cười ngắn,"TỰ NHIÊN
Tự nhiên con mắt liếc qua
 Tự nhiên mình thấy người ta liếc mình
 Tự nhiên tim đập thình thình
 Tự nhiên con mắt của mình tím đen : )
………….
-Alo!Nam ở nhà không Em?
 -Không ạ
 -Nhắn giùm có anh Tuấn tìm nha
 -Dạ
 -Mà E là gì của Nam thế, giọng dễ thương quá, iu rồi đấy nhá
 -Dạ,E là má của nó
 ???
…………
Hai vợ chồng cãi nhau:
 -Ôg là cái đồ biết ăn mà ko biết nấu
 -Bà tưởg bà ngon lắm hả ,tui còn đỡ hơn bà,cái đồ bit nấu mà ko dám…ăn
……………..
-Có chú nai vàng ngơ ngác
 -Đứng ngẩn ngơ trên xác lá mùa thu.
 -Cáo già đi ngag wa nói :
 - Dạ con lạy cụ giả vờ vừa thôi! : D
…………..
Bắc thang lên hỏi ông trời
 Thằng Luyện cướp của giết người, xử sao?
 Trời gầm: Sao lại hỏi tao?
 Nó chưa 18 , làm sao tử hình????? : )
…………….
_Alo vinafone xin nge ạ!
 _E cho a hỏi vina phủ sóng trong cả nước fải k?
 Vâng, có vấn đề j ko ạ?
 _ Sao đt a thả zô nước k liên lạc đc zậy?
…………….
Sau hội diễn văn nghệ của trường, Tí hỏi Tèo :
 - Cậu thấy chất giọng của tớ hợp với dòng nhạc nào nhất ?
 Tèo : Nhạc không lời !
 Tí ???
…………….
Khách tới chơi, cả nhà đi vắng, chỉ có cậu bé 5 tuổi ở nhà. Ông khách kiếm câu chuyện làm quà:
 - Người mà bố cháu gọi là mẹ thì cháu gọi bằng gì?
 - Dạ, bà ạ.
 - Thế còn người mà bố cháu gọi bằng bà thì cháu gọi bằng gì?
 - Là mẹ ạ. : )
-Khách…???!!
……………….
Ở Việt Nam :
 - Công Lý chỉ là 1 diễn viên hài.
 - Dân chủ chỉ là 1 rạp chiếu phim.
 - Tự Do chỉ là 1 ngõ nhỏ.
 - Vì Dân chỉ là 1 gói bột giặt."
397,Thói quen nghề nghiệp,Truyện cười gia đình,"Mẹ nói chuyện với con trai về nàng dâu:
- Này Bob, con vợ mày ngày xưa nói năng cộc lốc, nhanh như máy nổ...
- Dạ... dạ... hồi đó nhà con còn trực ở tổng đài trả lời miễn phí, nên có bị nhiễm đôi chút bất nhã, mẹ bỏ quá cho.
- Nhưng bây giờ thì nó còn tệ hơn, phải cạy miệng mới nói được một tiếng, mà lại còn ề à, chậm chạp.
- Vâng, mẹ ơi, dạo này cô ấy chuyển sang tổng đài tư vấn có tính cước rồi!"
